cpu2gpu_time	forward_time	backward_time
0.007523298	3.131349087	5.719654799
0.006366491	0.113308668	0.237761497
0.006321907	0.113409281	0.236992836
0.006319284	0.113041878	0.237408400
0.006323338	0.113146305	0.236877680
0.006318808	0.113261700	0.237165213
0.006320953	0.112796783	0.237321377
0.006317854	0.113047838	0.237401247
0.006325483	0.113066435	0.237407446
0.006318331	0.112798214	0.237293482
0.006324291	0.113502026	0.237175941
0.006319046	0.112744570	0.237191916
0.006358862	0.112847805	0.237227440
0.006315231	0.113097906	0.237101555
0.006317616	0.112973928	0.237438440
0.006324768	0.113024712	0.237179518
0.006319284	0.113067389	0.237600803
0.006319046	0.112999678	0.237118006
0.006320000	0.112920523	0.237257004
0.006323814	0.112927675	0.237302542
0.006316185	0.113013029	0.237394094
0.006378651	0.113233566	0.237819910
0.006325245	0.113605261	0.237815380
0.006325245	0.113313437	0.237806559
0.006324053	0.113162994	0.238200903
0.006324291	0.113300800	0.237655401
0.006329775	0.113131285	0.237576962
0.006325006	0.113096237	0.237101078
0.006321192	0.113095284	0.237590313
0.006319046	0.113229275	0.237093925
0.006329775	0.113104343	0.237099171
0.006317616	0.113182783	0.237375259
0.006328821	0.112984896	0.237196445
0.006329060	0.113007069	0.237188578
0.006354094	0.113001108	0.237069130
0.006352901	0.113413572	0.236879349
0.006318331	0.113115072	0.237771988
0.006325722	0.113074303	0.237290859
0.006332159	0.113001585	0.237078667
0.006322145	0.112944126	0.238088131
0.006474495	0.113147497	0.238202810
0.006351471	0.113173008	0.238105774
0.006335497	0.113216400	0.237380505
0.006319284	0.112948895	0.237350702
0.006322145	0.113737106	0.237558365
0.006325722	0.112989426	0.237037182
0.006317377	0.112939119	0.237383604
0.006315470	0.113065481	0.237118483
0.006330967	0.113802671	0.237293005
0.006322861	0.113056898	0.237167597
0.006322622	0.113112926	0.237289190
0.006321192	0.113186359	0.239725828
0.006344557	0.113641977	0.237873077
0.006320953	0.113216639	0.238178730
0.006338120	0.113495111	0.237789869
0.006325722	0.113566875	0.237398624
0.006319284	0.113018274	0.237425089
0.006318569	0.113311291	0.237519979
0.006319761	0.113025665	0.238286257
0.006328106	0.113600016	0.237874031
0.006323099	0.113221169	0.237499714
0.006325960	0.113663435	0.237543344
0.006316423	0.113638401	0.238126516
0.006348133	0.113175869	0.238114595
0.006334543	0.113773346	0.237849712
0.006337404	0.113223553	0.237679243
0.006331921	0.113111973	0.237426043
0.006315947	0.113041639	0.237626076
0.006320477	0.113132238	0.237662077
0.006320715	0.113398552	0.237927198
0.006331682	0.113281965	0.237719774
0.006322145	0.113636017	0.237618923
0.006318331	0.112860203	0.237171412
0.006315231	0.113050938	0.237450361
0.006317377	0.112984657	0.237742424
0.006328344	0.113151789	0.237397432
0.006317854	0.113162518	0.237434149
0.006322622	0.113678217	0.237988472
0.006341219	0.113496780	0.237604380
0.006327152	0.113166571	0.237997532
0.006325960	0.112946033	0.237621307
0.006330729	0.113307476	0.237309217
0.006348133	0.113000870	0.238492727
0.006321430	0.113221169	0.237766266
0.006325483	0.113654375	0.238150835
0.006340981	0.113486290	0.237734318
0.006328821	0.112889051	0.237850904
0.006324768	0.113155603	0.237559557
0.006332874	0.113250017	0.239039660
0.006324053	0.113409519	0.237190723
0.006317377	0.113009453	0.237631798
0.006331921	0.112930059	0.237351418
0.006333828	0.113050699	0.237911224
0.006321430	0.112982512	0.237303495
0.006316662	0.112930298	0.238747120
0.006332636	0.113326550	0.238042593
0.006335258	0.112749338	0.238337278
0.006323099	0.113201141	0.237955332
0.006545782	0.123816013	0.253967047
0.006324053	0.113528490	0.237680435
0.006314039	0.113585234	0.237643480
